FRED Graph Observations,Column 2
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
PCU3112113112111,"Producer Price Index by Industry: Flour Milling: Wheat Flour (Except Flour Mixes), Made in Flour Mills, Index Jun 1983=100, Monthly, Not Seasonally Adjusted"
Frequency: Monthly,
observation_date,PCU3112113112111
Sat Jan 01 00:00:00 EST 2022,257
Wed Dec 01 00:00:00 EST 2021,262
Mon Nov 01 00:00:00 EDT 2021,263
Fri Oct 01 00:00:00 EDT 2021,258
Wed Sep 01 00:00:00 EDT 2021,248
Sun Aug 01 00:00:00 EDT 2021,248
Thu Jul 01 00:00:00 EDT 2021,231
Tue Jun 01 00:00:00 EDT 2021,220
Sat May 01 00:00:00 EDT 2021,221
Thu Apr 01 00:00:00 EDT 2021,207
Mon Mar 01 00:00:00 EST 2021,209
Mon Feb 01 00:00:00 EST 2021,204
Fri Jan 01 00:00:00 EST 2021,206
Tue Dec 01 00:00:00 EST 2020,197
Sun Nov 01 00:00:00 EDT 2020,198
Thu Oct 01 00:00:00 EDT 2020,194
Tue Sep 01 00:00:00 EDT 2020,193
Sat Aug 01 00:00:00 EDT 2020,190
Wed Jul 01 00:00:00 EDT 2020,193
Mon Jun 01 00:00:00 EDT 2020,193
Fri May 01 00:00:00 EDT 2020,192
Wed Apr 01 00:00:00 EDT 2020,194
Sun Mar 01 00:00:00 EST 2020,193
Sat Feb 01 00:00:00 EST 2020,194
Wed Jan 01 00:00:00 EST 2020,196
Sun Dec 01 00:00:00 EST 2019,193
Fri Nov 01 00:00:00 EDT 2019,193
Tue Oct 01 00:00:00 EDT 2019,192
Sun Sep 01 00:00:00 EDT 2019,184
Thu Aug 01 00:00:00 EDT 2019,186
Mon Jul 01 00:00:00 EDT 2019,193
Sat Jun 01 00:00:00 EDT 2019,195
Wed May 01 00:00:00 EDT 2019,189
Mon Apr 01 00:00:00 EDT 2019,191
Fri Mar 01 00:00:00 EST 2019,193
Fri Feb 01 00:00:00 EST 2019,194
Tue Jan 01 00:00:00 EST 2019,193
Sat Dec 01 00:00:00 EST 2018,194
Thu Nov 01 00:00:00 EDT 2018,195
Mon Oct 01 00:00:00 EDT 2018,194
Sat Sep 01 00:00:00 EDT 2018,193
Wed Aug 01 00:00:00 EDT 2018,197
Sun Jul 01 00:00:00 EDT 2018,194
Fri Jun 01 00:00:00 EDT 2018,199
Tue May 01 00:00:00 EDT 2018,198
Sun Apr 01 00:00:00 EDT 2018,197
Thu Mar 01 00:00:00 EST 2018,197
Thu Feb 01 00:00:00 EST 2018,194
Mon Jan 01 00:00:00 EST 2018,196
